,User-ID,Location,Age,profession,ville
62965,62966,"paris, paris, france",23.0,tech,paris
62979,62980,"venissieux, rhone alpes, france",34.0,tech,venissieux
62997,62998,"nantes, france, france",34.0,tech,nantes
63003,63004,"clermont-ferrand, auvergne, france",44.0,tech,clermont-ferrand
63032,63033,"paris, paris, france",34.0,tech,paris
63073,63074,"paris, n/a, france",44.0,tech,paris
63074,63075,"saint saulve, n/a, france",34.0,tech,saint saulve
63100,63101,"antony, ile de france, france",40.0,tech,antony
63132,63133,"espalion, aveyron, midi-pyrénées, france",55.0,tech,espalion
63133,63134,"brest, bretagne, france",48.0,tech,brest
63165,63166,"les sables d`olonne, n/a, france",34.0,tech,les sables d`olonne
63211,63212,"gaillard, haute savoie, france",34.0,tech,gaillard
63359,63360,"lézignan, languedoc rousillon, france",29.0,tech,lézignan
63368,63369,"grenoble, n/a, france",48.0,tech,grenoble
63388,63389,"paris, ile de france, france",25.0,tech,paris
63475,63476,"toulouse, mipy, france",53.0,tech,toulouse
63506,63507,"paris, illedefrance, france",34.0,tech,paris
63544,63545,"paris, n/a, france",28.0,tech,paris
63555,63556,"chatenay-malabry, ile de france, france",34.0,tech,chatenay-malabry
63619,63620,"paris, paris, france",70.0,tech,paris
63624,63625,"nancy, lorraine, france",15.0,tech,nancy
63642,63643,"dieppe, normandy, france",24.0,tech,dieppe
63651,63652,"avignon, provence, france",49.0,tech,avignon
63696,63697,"caluire et cuire, rhône, france",63.0,tech,caluire et cuire
63718,63719,"pierrefonds, picardie, france",34.0,tech,pierrefonds
63764,63765,"lyon, rhône-alpes, france",46.0,tech,lyon
63781,63782,"audignies, nord, france",23.0,tech,audignies
63828,63829,"nancy, lorraine, france",20.0,tech,nancy
63853,63854,"paris, ile de france, france",45.0,tech,paris
63864,63865,"paris, paris, france",39.0,tech,paris
63910,63911,"marseille, provence alpes cote d`azur, france",57.0,tech,marseille
63923,63924,"paris, ile de france, france",35.0,tech,paris
63937,63938,"paris, paris, france",34.0,tech,paris
63952,63953,"st pierre de vassols, vaucluse, france",26.0,tech,st pierre de vassols
63963,63964,"paris, lemonde, france",34.0,tech,paris
63969,63970,"marseille, marseille, france",34.0,tech,marseille
63975,63976,"paris, ile de france, france",38.0,tech,paris
63997,63998,"alfortville, val de marne, france",28.0,tech,alfortville
64062,64063,"magny, oise, france",34.0,tech,magny
64072,64073,"noisy le grand, ile de france, la france",34.0,tech,noisy le grand
64099,64100,"paris, france, france",34.0,tech,paris
64110,64111,"nantes, pays de la loire, france",23.0,tech,nantes
64111,64112,"gien, loiret, france",35.0,tech,gien
64136,64137,"rennes, bretagne, france",41.0,tech,rennes
64154,64155,"saint nicolas de la taille, seine maritime, france",43.0,tech,saint nicolas de la taille
64269,64270,"marseille, n/a, france",34.0,tech,marseille
64309,64310,"toulouse, midi pyrenees, france",46.0,tech,toulouse
64343,64344,"nantes, n/a, france",34.0,tech,nantes
64408,64409,"bordeaux, aquitaine, france",40.0,tech,bordeaux
64428,64429,"montpellier, yukon territory, france",29.0,tech,montpellier
64435,64436,"strasbourg, alsace, france",36.0,tech,strasbourg
64534,64535,"quelquepart, n/a, france",43.0,tech,quelquepart
64563,64564,"nevers, la nievre, france",34.0,tech,nevers
64628,64629,"paris, \n/a\"", france""",57.0,tech,paris
64661,64662,"paris, île de france, france",34.0,tech,paris
64742,64743,"paris, paris, france",65.0,tech,paris
64764,64765,"paris, ile-de-france, france",34.0,tech,paris
64774,64775,"versailles, ile de france, france",45.0,tech,versailles
64782,64783,"montbéliard, doubs, france",34.0,tech,montbéliard
64818,64819,"strasbourg, bayern, france",49.0,tech,strasbourg
64820,64821,"soisy, n/a, france",34.0,tech,soisy
64845,64846,"metz, moselle, france",34.0,tech,metz
64898,64899,"boler, n/a, france",61.0,tech,boler
64922,64923,"toulouse, n/a, france",34.0,tech,toulouse
64989,64990,"paris, hawaii, france",34.0,tech,paris
64994,64995,"paris, paris, france",24.0,tech,paris
65031,65032,"paris, ile de france, france",17.0,tech,paris
65053,65054,"paris, france, france",26.0,tech,paris
65087,65088,"beaurainville, pas de calais, france",34.0,tech,beaurainville
65144,65145,"marseille, provence, france",54.0,tech,marseille
65190,65191,"paris, n/a, france",34.0,tech,paris
65207,65208,"avignon, paca, france",30.0,tech,avignon
65217,65218,"lyon, rhône alpes, france",34.0,tech,lyon
65227,65228,"paris, ile-de-france, france",58.0,tech,paris
65257,65258,"paris, paris, france",42.0,tech,paris
65344,65345,"courbevoie, ile-de-france, france",26.0,tech,courbevoie
65349,65350,"toulouse, haute-garonne, france",38.0,tech,toulouse
65369,65370,"villemur, midi-pyrenees, france",35.0,tech,villemur
65413,65414,"marseille, south of france, france",34.0,tech,marseille
65443,65444,"colombes, ile de france, france",56.0,tech,colombes
65466,65467,"allauch, allauch, france",45.0,tech,allauch
65486,65487,"strasbourg, alsace, france",49.0,tech,strasbourg
65583,65584,"toulouse, midi-pyrénées, france",26.0,tech,toulouse
65652,65653,"paris, ile de france, france",34.0,tech,paris
65662,65663,"talence, aquitaine, france",32.0,tech,talence
65679,65680,"sevran, ile-de-france, france",34.0,tech,sevran
65709,65710,"paris, n/a, france",34.0,tech,paris
65768,65769,"paris, ile de france, france",36.0,tech,paris
65790,65791,"lyon, rhone-alpes, france",29.0,tech,lyon
65889,65890,"lons-le-saunier, franche-comté, france",34.0,tech,lons-le-saunier
65907,65908,"arles, n/a, france",45.0,tech,arles
66054,66055,"besançon, n/a, france",32.0,tech,besançon
66072,66073,"lille, nord, france",28.0,tech,lille
66087,66088,"paris, ile de france, france",46.0,tech,paris
66095,66096,"toulouse, haute-garonne, france",53.0,tech,toulouse
66287,66288,"lyon, rhône, france",29.0,tech,lyon
66303,66304,"lille, n/a, france",44.0,tech,lille
66322,66323,"grenoble, rhone-alpes, france",34.0,tech,grenoble
66361,66362,"strasbourg, alsace, france",20.0,tech,strasbourg
66369,66370,"lyon, rhône, france",34.0,tech,lyon
66386,66387,"paris, ile de france, france",52.0,tech,paris
66427,66428,"paris, paris, france",16.0,tech,paris
66441,66442,"paris, n/a, france",42.0,tech,paris
66442,66443,"angers, maine-et-loire, france",29.0,tech,angers
66454,66455,"parigi, ile de france, france",34.0,tech,parigi
66472,66473,"paris, ile de france, france",21.0,tech,paris
66486,66487,"st avold, moselle, france",34.0,tech,st avold
66499,66500,"laval, n/a, france",34.0,tech,laval
66522,66523,"toulouse, haute-garonne, france",34.0,tech,toulouse
66577,66578,"lyon, alabama, france",34.0,tech,lyon
66639,66640,"lille, nord-pas-de-calais, france",42.0,tech,lille
66650,66651,"paris, ile de france, france",34.0,tech,paris
66707,66708,"belfort, franche comte, france",49.0,tech,belfort
66730,66731,"paris, n/a, france",34.0,tech,paris
66852,66853,"st lambert des bois, yvelines, france",39.0,tech,st lambert des bois
66877,66878,"paris, n/a, france",42.0,tech,paris
66911,66912,"strasbourg, alsace, la france",75.0,tech,strasbourg
66941,66942,"limoges, n/a, france",31.0,tech,limoges
66959,66960,"paris, ile de france, france",103.0,tech,paris
66988,66989,"chapelle sur erdre, loire atlantique, france",34.0,tech,chapelle sur erdre
66992,66993,"paris, alabama, france",34.0,tech,paris
67002,67003,"paris, ile de france, france",52.0,tech,paris
67029,67030,"fareins, rhône-alpes, france",41.0,tech,fareins
67084,67085,"le bar sur loup, alpes maritimes, france",34.0,tech,le bar sur loup
67090,67091,"lille, nord, france",34.0,tech,lille
67186,67187,"saint-joseph, ile de la réunion, france",58.0,tech,saint-joseph
67187,67188,"aix en provence, n/a, france",34.0,tech,aix en provence
67235,67236,"la baule, n/a, france",38.0,tech,la baule
67254,67255,"paris, n/a, france",34.0,tech,paris
67269,67270,"paris, ile-de-france, france",34.0,tech,paris
67271,67272,"versailles, connecticut, france",35.0,tech,versailles
67287,67288,"france, rhone alpes, france",26.0,tech,france
67295,67296,"paris, ile-de-france, france",39.0,tech,paris
67353,67354,"brest, finistère, france",30.0,tech,brest
67370,67371,"rennes, bretagne, france",34.0,tech,rennes
67401,67402,"paris, region parissienne, france",34.0,tech,paris
67414,67415,"lille, nord pas de calais, france",29.0,tech,lille
67486,67487,"lyon, rhône-alpes, france",33.0,tech,lyon
67514,67515,"toulouse, midi-pyrénées, france",45.0,tech,toulouse
67541,67542,"gif-sur-yvette, n/a, france",60.0,tech,gif-sur-yvette
67543,67544,"neuilly, region parisienne, france",30.0,tech,neuilly
67546,67547,"brest, bretagne, france",42.0,tech,brest
67566,67567,"nantes, loire atlantique, france",34.0,tech,nantes
67570,67571,"rochefort, france, france",51.0,tech,rochefort
67590,67591,"paris, n/a, france",34.0,tech,paris
67626,67627,"paris, ile de france, france",34.0,tech,paris
67635,67636,"montesquieu volvestre, france, france",34.0,tech,montesquieu volvestre
67692,67693,"paris, n/a, france",24.0,tech,paris
67703,67704,"strasbourg, alsace, france",34.0,tech,strasbourg
67733,67734,"strasbourg, alsace, france",44.0,tech,strasbourg
67773,67774,"grenoble, rhône alpes, france",34.0,tech,grenoble
67789,67790,"pantin, territoire de capital(capitale) australien, la france",34.0,tech,pantin
67809,67810,"strasbourg, alsace, france",41.0,tech,strasbourg
67839,67840,"strasbourg, alsace, france",50.0,tech,strasbourg
67895,67896,"blenod les pont a mousson, lorraine, france",29.0,tech,blenod les pont a mousson
67929,67930,"paris, n/a, france",34.0,tech,paris
67944,67945,"paris, paris, france",25.0,tech,paris
67993,67994,"lamotte-beuvron, centre, france",57.0,tech,lamotte-beuvron
68028,68029,"gravelines, nord, france",34.0,tech,gravelines
68080,68081,"marseille, provence, france",34.0,tech,marseille
68081,68082,"paris, paris, france",37.0,tech,paris
68127,68128,"pessac, gironde, france",34.0,tech,pessac
68155,68156,"arles, n/a, france",34.0,tech,arles
68183,68184,"lyon, rhone, france",34.0,tech,lyon
68184,68185,"bordeaux, aquitaine, france",22.0,tech,bordeaux
68240,68241,"férel, bretagne, france",34.0,tech,férel
68248,68249,"paris, ile de france, france",50.0,tech,paris
68255,68256,"nantes, loire atlantique, france",28.0,tech,nantes
68372,68373,"port blanc penvenan, bretagne, france",20.0,tech,port blanc penvenan
68382,68383,"ferney-voltaire, ain, france",35.0,tech,ferney-voltaire
68436,68437,"dijon, n/a, la france",47.0,tech,dijon
68469,68470,"plouaret, brittany, france",34.0,tech,plouaret
68504,68505,"cranves-sales, haute-savoie, france",34.0,tech,cranves-sales
68510,68511,"paris, paris, france",34.0,tech,paris
68536,68537,"paris, ile de france, france",70.0,tech,paris
68537,68538,"nantes, loire, france",34.0,tech,nantes
68554,68555,"grenoble, rhônes-alpes, france",34.0,tech,grenoble
68562,68563,"milly-la-forêt, essonne, france",34.0,tech,milly-la-forêt
68567,68568,"lyon, n/a, france",46.0,tech,lyon
68573,68574,"paris, ile-de-france, france",34.0,tech,paris
68578,68579,"pau, emilia romagna, france",46.0,tech,pau
68585,68586,"paris, , france",34.0,tech,paris
68720,68721,"nice, côte d`azur, france",30.0,tech,nice
68737,68738,"paris, n:a, france",61.0,tech,paris
68759,68760,"aubenas, ardèche, france",34.0,tech,aubenas
68792,68793,"lyon, n/a, france",27.0,tech,lyon
68835,68836,"paris, ile de france, france",56.0,tech,paris
68845,68846,"rennes, bretagne, france",29.0,tech,rennes
68860,68861,"dijon, burgundy, france",19.0,tech,dijon
68885,68886,"paris, n/a, france",37.0,tech,paris
68942,68943,"strasbourg, alsace, france",34.0,tech,strasbourg
68964,68965,"caen, normandie, france",34.0,tech,caen
68983,68984,"corbeil-essonnes, essonnes, france",26.0,tech,corbeil-essonnes
69041,69042,"¨paris, ile de france, france",55.0,tech,¨paris
69077,69078,"saint germain en laye, n/a, france",42.0,tech,saint germain en laye
69101,69102,"paris, n/a, france",22.0,tech,paris
69155,69156,"cesson-sévigné, bretagne, france",31.0,tech,cesson-sévigné
69210,69211,"creteil, n/a, france",34.0,tech,creteil
69231,69232,"strasbourg, alsace, france",55.0,tech,strasbourg
69251,69252,"rennes, rheinland-pfalz, france",34.0,tech,rennes
69353,69354,"metz, lorraine, france",25.0,tech,metz
69377,69378,"paris, ile de france, france",46.0,tech,paris
69388,69389,"paris, n/a, france",29.0,tech,paris
69404,69405,"lyon, rhône-alpes, france",36.0,tech,lyon
69409,69410,"montreuil/ille, bretagne, france",34.0,tech,montreuil/ille
69435,69436,"pholcus, n/a, france",34.0,tech,pholcus
69498,69499,"strasbourg, alsace, france",31.0,tech,strasbourg
69511,69512,"strasbourg, nebraska, france",34.0,tech,strasbourg
69553,69554,"colmar - strasbourg, colmar/strasbourg, france",34.0,tech,colmar - strasbourg
69657,69658,"paris, france, france",39.0,tech,paris
69660,69661,"paris, paris, france",54.0,tech,paris
69671,69672,"compiegne, oise, france",46.0,tech,compiegne
69683,69684,"paris, n/a, france",33.0,tech,paris
69685,69686,"lodève, languedoc-roussillon, france",56.0,tech,lodève
69697,69698,"strasbourg, n/a, france",46.0,tech,strasbourg
69789,69790,"lille, n/a, france",41.0,tech,lille
69822,69823,"puteaux, hauts-de-seine, france",25.0,tech,puteaux
69918,69919,"saint andré les vergers, n/a, france",34.0,tech,saint andré les vergers
69928,69929,"saint-denis, ile-de-france, france",71.0,tech,saint-denis
69932,69933,"marseille, bouche du rhone, france",34.0,tech,marseille
69970,69971,"paris, california, france",43.0,tech,paris
69979,69980,"paris, n/a, france",57.0,tech,paris
69980,69981,"paris, n/a, france",34.0,tech,paris
70021,70022,"paris, n/a, france",53.0,tech,paris
70028,70029,"nancy, lorraine, france",34.0,tech,nancy
70051,70052,"thionville, lorraine, france",30.0,tech,thionville
70060,70061,"mont de marsan - france, n/a, france",34.0,tech,mont de marsan - france
70152,70153,"france, indiana, antarctica",34.0,tech,france
70182,70183,"paris, ile de france, france",25.0,tech,paris
70188,70189,"le cellier, pays de loire, france",34.0,tech,le cellier
70200,70201,"paris, paris, france",61.0,tech,paris
70204,70205,"clichy, n/a, france",34.0,tech,clichy
70221,70222,"vourles, rhone, france",56.0,tech,vourles
70317,70318,"strasbourg, n/a, france",31.0,tech,strasbourg
70377,70378,"strasbourg, alsace, france",29.0,tech,strasbourg
70413,70414,"lyon, rhône, france",34.0,tech,lyon
70414,70415,"naours, picardie, france",57.0,tech,naours
70447,70448,"aix en provence, bouches-du-rhône, france",17.0,tech,aix en provence
70464,70465,"paris, n/a, france",34.0,tech,paris
70588,70589,"montrouge, n/a, france",34.0,tech,montrouge
70593,70594,"bendejun, alpes-maritimes, france",53.0,tech,bendejun
70648,70649,"sevran, ile de france, france",31.0,tech,sevran
70663,70664,"metz, moselle, france",27.0,tech,metz
70665,70666,"paris, emilia romagna, france",18.0,tech,paris
70679,70680,"rennes, bretagne, france",34.0,tech,rennes
70726,70727,"brest, bretagne, france",34.0,tech,brest
70739,70740,"villiers sur marne, alaska, france",34.0,tech,villiers sur marne
70877,70878,"draguignan, var, france",34.0,tech,draguignan
70917,70918,"paris, ile-de-france, france",34.0,tech,paris
70964,70965,"saint-nazaire, pays de la loire, france",31.0,tech,saint-nazaire
71018,71019,"lyon, rhone- alpes, france, france",55.0,tech,lyon
71074,71075,"paris, ile de france, france",26.0,tech,paris
71161,71162,"lorient, bretagne, france",40.0,tech,lorient
71180,71181,"paris, ile-de-france, france",40.0,tech,paris
71206,71207,"joué-les-tours, touraine, france",34.0,tech,joué-les-tours
71273,71274,"yeu (island), vendee, france",34.0,tech,yeu (island)
71312,71313,"cholet, n/a, france",30.0,tech,cholet
71315,71316,"paris, ile-de-france, france",34.0,tech,paris
71363,71364,"rennes, bretagne, france",23.0,tech,rennes
71463,71464,"strasbourg, france, france",23.0,tech,strasbourg
71469,71470,"valence, rhône alpes, france",62.0,tech,valence
71489,71490,"marseille, provence alpes cotes d azur, france",23.0,tech,marseille
71493,71494,"strasbourg, alsace, france",34.0,tech,strasbourg
71506,71507,"paris, n/a, france",19.0,tech,paris
71586,71587,"romilly sur aigre, eure et loire, france",34.0,tech,romilly sur aigre
71683,71684,"ham, picardie, france",44.0,tech,ham
71711,71712,"gif sur yvette, ile de france, france",26.0,tech,gif sur yvette
71715,71716,"lr, poitou-charentes, france",36.0,tech,lr
71751,71752,"nouvelle eglise, nors pas de calais, la france",20.0,tech,nouvelle eglise
71766,71767,"perigueux, aquitaine, france",34.0,tech,perigueux
71778,71779,"rueil, hauts de seine, france",34.0,tech,rueil
71785,71786,"paris, ile de france, france",29.0,tech,paris
71852,71853,"lille, n/a, france",23.0,tech,lille
72029,72030,"paris, paris, france",38.0,tech,paris
72091,72092,"paris, n/a, france",34.0,tech,paris
72098,72099,"plivot, marne, france",41.0,tech,plivot
72099,72100,"tours, indre et loire, france",37.0,tech,tours
72213,72214,"paris, nebraska, france",40.0,tech,paris
72243,72244,"paris, paris, france",34.0,tech,paris
72246,72247,"rennes, bretagne, france",18.0,tech,rennes
72281,72282,"paris, n/a, france",50.0,tech,paris
72286,72287,"couëron, france, france",34.0,tech,couëron
72295,72296,"aix-en-provence, n/a, france",33.0,tech,aix-en-provence
72302,72303,"strasbourg, alsace, france",28.0,tech,strasbourg
72346,72347,"strasbourg, n/a, france",32.0,tech,strasbourg
72367,72368,"paris, ile de france, france",15.0,tech,paris
72423,72424,"paris, paris, france",58.0,tech,paris
72522,72523,"romainville, ile de france, france",34.0,tech,romainville
72543,72544,"rennes, bretagne, france",34.0,tech,rennes
72574,72575,"besançon, n/a, france",103.0,tech,besançon
72686,72687,"montreuil, n/a, france",70.0,tech,montreuil
72875,72876,"montpellier, languedoc, france",22.0,tech,montpellier
72885,72886,"la possonnière, maine et loire, france",34.0,tech,la possonnière
72920,72921,"lhopital, alabama, france",29.0,tech,lhopital
72922,72923,"brest, bretagne, france",34.0,tech,brest
72949,72950,"paris, n/a, france",23.0,tech,paris
72963,72964,"nancy, lorraine, france",34.0,tech,nancy
72974,72975,"vannes, bretagne, france",21.0,tech,vannes
72989,72990,"paris, n/a, france",31.0,tech,paris
73021,73022,"entzheim, n/a, france",34.0,tech,entzheim
73024,73025,"grenoble, isere, france",34.0,tech,grenoble
73043,73044,"lille, nord, france",34.0,tech,lille
73045,73046,"paris, ile de france, france",22.0,tech,paris
73055,73056,"paris, ile de france, france",34.0,tech,paris
73178,73179,"bures/yvette, france, france",36.0,tech,bures/yvette
73218,73219,"paris, paris, france",26.0,tech,paris
73259,73260,"brest, wyoming, france",32.0,tech,brest
73260,73261,"nantes, n/a, la france",65.0,tech,nantes
73309,73310,"nantes, n/a, france",34.0,tech,nantes
73362,73363,"saint ouen, n/a, france",22.0,tech,saint ouen
73393,73394,"paris, yukon territory, france",33.0,tech,paris
73446,73447,"st.julien en genevois, haute-savoie, france",34.0,tech,st.julien en genevois
73473,73474,"paris, n/a, france",27.0,tech,paris
73485,73486,"paris, ile de france, france",19.0,tech,paris
73534,73535,"paris, n/a, france",34.0,tech,paris
73602,73603,"paris, ile de france, france",56.0,tech,paris
73616,73617,"bordeaux, aquitaine, france",20.0,tech,bordeaux
73621,73622,"lyon, rhône, france",27.0,tech,lyon
73637,73638,"fourqueux, n/a, france",34.0,tech,fourqueux
73680,73681,"lyon, n/a, france",27.0,tech,lyon
73692,73693,"nancy, lorraine, france",52.0,tech,nancy
73740,73741,"lyon, n/a, france",30.0,tech,lyon
73781,73782,"lannemezan, hautes pyrénées, france",32.0,tech,lannemezan
73794,73795,"paris, ile de france, france",34.0,tech,paris
73922,73923,"issy-les-moulineaux, n/a, france",29.0,tech,issy-les-moulineaux
73939,73940,"paris, l`île de france, france",56.0,tech,paris
73954,73955,"paris, ile de france, france",34.0,tech,paris
74081,74082,"paris, n/a, france",34.0,tech,paris
74114,74115,"fort frances, ontario, canada",37.0,tech,fort frances
74136,74137,"paris, paris, france",35.0,tech,paris
74174,74175,"nice, brandenburg, france",23.0,tech,nice
74184,74185,"hazebrouck, nord, france",28.0,tech,hazebrouck
74234,74235,"chatenay malabry, paris, france",34.0,tech,chatenay malabry
74285,74286,"paris, ile-de-france, france",23.0,tech,paris
74327,74328,"voreppe, isere, france",40.0,tech,voreppe
74452,74453,"marseille, provence alpes côte d`azure, france",61.0,tech,marseille
74499,74500,"rennes, bretagne, france",34.0,tech,rennes
74509,74510,"levallois-perret, , france",27.0,tech,levallois-perret
74568,74569,"metz, moselle, france",15.0,tech,metz
74594,74595,"collonges sous saleve, haute savoie, france",34.0,tech,collonges sous saleve
74629,74630,"paris, \n/a\"", france""",20.0,tech,paris
74630,74631,"lille, nord, france",28.0,tech,lille
74636,74637,"nantes, loire atlantique, france",29.0,tech,nantes
74664,74665,"strasbourg, alsace, france",34.0,tech,strasbourg
74690,74691,"paris, ile de france, france",49.0,tech,paris
74727,74728,"strasbourg, alsace, france",34.0,tech,strasbourg
74742,74743,"montrouge, ile de france, france",32.0,tech,montrouge
74756,74757,"montgeron, \n/a\"", france""",34.0,tech,montgeron
74757,74758,"paris, ile de france, france",24.0,tech,paris
74791,74792,"meudon, n/a, france",34.0,tech,meudon
74902,74903,"nantes, pays de loire, france",25.0,tech,nantes
74909,74910,"paris, paris, france",22.0,tech,paris
74996,74997,"colmar, , france",34.0,tech,colmar
75012,75013,"pantin, n/a, france",34.0,tech,pantin
75027,75028,"traenheim, n/a, france",39.0,tech,traenheim
75036,75037,"lyon, rhone alpes, france",34.0,tech,lyon
75063,75064,"lille, nord, france",34.0,tech,lille
75080,75081,"mieussy, na, france",29.0,tech,mieussy
75088,75089,"meximieux, rhône alpes, france",34.0,tech,meximieux
75148,75149,"nantes, pays de la loire, france",36.0,tech,nantes
75153,75154,"paris, ile de france, france",47.0,tech,paris
75280,75281,"bordeaux, saskatchewan, france",58.0,tech,bordeaux
75285,75286,"nanterre, ile de france, france",34.0,tech,nanterre
75291,75292,"rennes, bretagne, france",20.0,tech,rennes
75311,75312,"auxerre, bourgogne, france",33.0,tech,auxerre
75321,75322,"paris, ile de france, france",34.0,tech,paris
75329,75330,"serignac-peboudou, lot et garonne, france",21.0,tech,serignac-peboudou
75345,75346,"rennes, bretagne, france",34.0,tech,rennes
75404,75405,"aix en provence, provence, france",49.0,tech,aix en provence
75427,75428,"paris, n/a, france",69.0,tech,paris
75428,75429,"paris, n/a, france",22.0,tech,paris
75432,75433,"paris, ile-de-france, france",34.0,tech,paris
75484,75485,"strasbourg, alsace, france",27.0,tech,strasbourg
75489,75490,"montigny-lès-cormeilles, ile-de-france, france",34.0,tech,montigny-lès-cormeilles
75490,75491,"paris, ile de france, france",26.0,tech,paris
75497,75498,"le havre, haute normandie, france",29.0,tech,le havre
75516,75517,"karlsruhe, , france",28.0,tech,karlsruhe
75534,75535,"paris, ile de france, france",41.0,tech,paris
75559,75560,"nice, côte d`azur, france",34.0,tech,nice
75590,75591,"besancon, franche-comté, france",33.0,tech,besancon
75690,75691,"paris, n/a, france",17.0,tech,paris
75694,75695,"paris, ile-de-france, france",36.0,tech,paris
75779,75780,"paimpol, bretagne, france",34.0,tech,paimpol
75818,75819,"besançon, \n/a\"", france""",34.0,tech,besançon
75824,75825,"paris, île-de-france, france",36.0,tech,paris
75841,75842,"orleans, loiret, france",42.0,tech,orleans
75859,75860,"niort, n/a, france",30.0,tech,niort
75931,75932,"levallois, emilia romagna, france",34.0,tech,levallois
76015,76016,"monistrol d`allier, n/a, la france",67.0,tech,monistrol d`allier
76069,76070,"paris, ile de france, france",22.0,tech,paris
76104,76105,"eragny, france, france",34.0,tech,eragny
76150,76151,"paris, ile de france, france",49.0,tech,paris
76167,76168,"lille, nord, france",34.0,tech,lille
76172,76173,"paris, paris, france",71.0,tech,paris
76222,76223,"paris, paris, france",25.0,tech,paris
76252,76253,"courcouronnes, ile de france, france",28.0,tech,courcouronnes
76263,76264,"paris, ile-de-france, france",51.0,tech,paris
76395,76396,"chateau-thierry, n/a, france",34.0,tech,chateau-thierry
76412,76413,"toulouse, i`m not part of the us, france",29.0,tech,toulouse
76413,76414,"marseille, bouches du rhone, france",34.0,tech,marseille
76481,76482,"rennes, brittany, france",103.0,tech,rennes
76482,76483,"concarneau, bretagne, france",37.0,tech,concarneau
76498,76499,"paris, paris, france",34.0,tech,paris
76504,76505,"marseille, provence, france",34.0,tech,marseille
76511,76512,"ivry-sur-seine, ile-de-france, france",48.0,tech,ivry-sur-seine
76529,76530,"colombes, n/a, france",55.0,tech,colombes
76531,76532,"lyon, france, n/a, france",36.0,tech,lyon
76625,76626,"paris, , france",38.0,tech,paris
76740,76741,"nanteuil, champagne-ardennes, france",28.0,tech,nanteuil
76794,76795,"courbevoie, n/a, france",34.0,tech,courbevoie
76809,76810,"paris, ile-de-france, france",34.0,tech,paris
76813,76814,"paris, france, france",20.0,tech,paris
76817,76818,"st thonan, bretagne, france",49.0,tech,st thonan
76887,76888,"paris, ile-de-france, france",19.0,tech,paris
76900,76901,"orsay, n/a, france",16.0,tech,orsay
76915,76916,"paris, ile de france, france",34.0,tech,paris
76932,76933,"chatillon, n/a, france",34.0,tech,chatillon
76989,76990,"paris, ile de france, france",34.0,tech,paris
77041,77042,"lille, nord, france",33.0,tech,lille
77051,77052,"strasbourg, alsace, france",25.0,tech,strasbourg
77071,77072,"paris, ile de france, france",39.0,tech,paris
77143,77144,"bordeaux, n/a, france",63.0,tech,bordeaux
77160,77161,"annecy, haute savoie, france",34.0,tech,annecy
77180,77181,"paris, ile-de-france, france",33.0,tech,paris
77260,77261,"paris, paris, france",34.0,tech,paris
77266,77267,"paris, toscana, france",66.0,tech,paris
77295,77296,"lyon, rhone, france",34.0,tech,lyon
77306,77307,"montpellier, languedoc roussillon, france",19.0,tech,montpellier
77458,77459,"ile d`oleron, ile d`oleron, france",34.0,tech,ile d`oleron
77479,77480,"toulouse, midi-pyrenees, france",51.0,tech,toulouse
77490,77491,"toulouse, , france",25.0,tech,toulouse
77491,77492,"bordeaux, aquitaine, france",22.0,tech,bordeaux
77515,77516,"le perreux-sur-marne, ile-de-france, france",35.0,tech,le perreux-sur-marne
77516,77517,"tournefeuille, calabria, france",38.0,tech,tournefeuille
77584,77585,"chatillon, ile de france, france",34.0,tech,chatillon
77641,77642,"biarritz, n/a, france",34.0,tech,biarritz
77714,77715,"vannes, bretagne - france, france",43.0,tech,vannes
77771,77772,"paris, paris, france",13.0,tech,paris
77808,77809,"angers, n/a, france",29.0,tech,angers
77815,77816,"paris, paris, france",72.0,tech,paris
77824,77825,"antbes, paca, france",34.0,tech,antbes
77855,77856,"saint pierre d`albigny, savoie, france",51.0,tech,saint pierre d`albigny
77859,77860,"ici, ile de france, france",33.0,tech,ici
77905,77906,"paris, paris, france",34.0,tech,paris
78006,78007,"angers, pays de loire, france",34.0,tech,angers
78014,78015,"le mans, pays de la loire, france",32.0,tech,le mans
78140,78141,"paris, ile-de-france, france",34.0,tech,paris
78164,78165,"chambery, savoie, france",34.0,tech,chambery
78228,78229,"paris, ile de france, france",34.0,tech,paris
78235,78236,"marseille, paca, france",40.0,tech,marseille
78259,78260,"herblay, val d`oise, france",40.0,tech,herblay
78320,78321,"paris, n/a, france",34.0,tech,paris
78327,78328,"paris, n/a, france",24.0,tech,paris
78380,78381,"plédéliac, bretagne, france",34.0,tech,plédéliac
78431,78432,"vaux le pénil, seine-et-marne, france",34.0,tech,vaux le pénil
78439,78440,"paris, ile de france, france",52.0,tech,paris
78446,78447,"bayon, gironde, france",49.0,tech,bayon
78447,78448,"grenoble, n/a, france",34.0,tech,grenoble
78517,78518,"nancy, lorraine, france",34.0,tech,nancy
78534,78535,"versailles, ile de france, france",34.0,tech,versailles
78539,78540,"belfort, franche-comté, france",34.0,tech,belfort
78544,78545,"nantes, loire-atlantique, france",19.0,tech,nantes
78572,78573,"paris, ile de france, france",23.0,tech,paris
78578,78579,"lyon, rhône, france",39.0,tech,lyon
78588,78589,"yutz, lorraine, france",34.0,tech,yutz
78636,78637,"fretin, npdc, france",16.0,tech,fretin
78681,78682,"eybens, isère, france",43.0,tech,eybens
